timestamp,emotion_1,emotion_2
2025-07-24 12:12:46,none,none
2025-07-24 12:12:52,none,none
2025-07-24 12:12:57,none,none
2025-07-24 12:13:02,none,none
2025-07-24 12:13:07,none,none
2025-07-24 12:13:12,neutral,none
2025-07-24 12:13:17,none,none
2025-07-24 12:13:22,Drowsiness,none
2025-07-24 12:13:27,neutral,none
2025-07-24 12:13:32,none,none
2025-07-24 12:13:37,neutral,none
2025-07-24 12:13:42,none,none
2025-07-24 12:13:47,none,none
2025-07-24 12:13:52,sad,none
2025-07-24 12:13:57,Drowsiness,none
2025-07-24 12:14:02,sad,none
2025-07-24 12:14:07,none,none
2025-07-24 12:14:12,happy,none
2025-07-24 12:14:17,happy,none
2025-07-24 12:14:22,none,none
2025-07-24 12:14:27,Head Nodding,none
2025-07-24 12:14:32,happy,none
2025-07-24 12:14:37,happy,none
2025-07-24 12:14:42,happy,none
2025-07-24 12:14:48,happy,none
2025-07-24 12:14:53,happy,none
2025-07-24 12:14:58,happy,none
2025-07-24 12:15:03,happy,none
2025-07-24 12:15:08,none,none
2025-07-24 12:15:13,fear,none
2025-07-24 12:15:18,none,none
2025-07-24 12:15:23,angry,none
2025-07-24 12:15:28,none,none
2025-07-24 12:15:33,none,none
2025-07-24 12:15:38,none,none
2025-07-24 12:15:43,none,none
2025-07-24 12:15:48,none,none
2025-07-24 12:15:53,none,none
