timestamp,emotion_1,emotion_2,true_emotion1,true_emotion2
2025-07-16 15:26:59,happy,angry,happy,angry
2025-07-16 15:27:04,happy,angry,happy,angry
2025-07-16 15:27:09,neutral,neutral,neutral,neutral
2025-07-16 15:27:14,happy,angry,happy,neutral
2025-07-16 15:27:19,Head Nodding,neutral,Head Nodding,neutral
2025-07-16 15:27:24,fear,fear,fear,neutral
2025-07-16 15:27:29,neutral,neutral,neutral,neutral
2025-07-16 15:27:34,sad,neutral,sad,neutral
2025-07-16 15:27:39,neutral,happy,neutral,happy
2025-07-16 15:27:44,sad,neutral,sad,neutral
2025-07-16 15:27:49,neutral,happy,neutral,happy
2025-07-16 15:27:55,neutral,neutral,neutral,neutral
2025-07-16 15:28:00,sad,angry,sad,angry
2025-07-16 15:28:05,sad,neutral,sad,neutral
2025-07-16 15:28:10,sad,neutral,sad,neutral
2025-07-16 15:28:15,neutral,neutral,neutral,neutral
2025-07-16 15:28:20,angry,sad,angry,neutral
2025-07-16 15:28:25,neutral,neutral,neutral,neutral
2025-07-16 15:28:30,sad,neutral,sad,neutral
2025-07-16 15:28:35,sad,neutral,sad,neutral
2025-07-16 15:28:40,sad,neutral,sad,neutral
2025-07-16 15:28:45,sad,neutral,sad,neutral
2025-07-16 15:28:50,neutral,sad,neutral,sad
2025-07-16 15:28:55,neutral,neutral,neutral,neutral
2025-07-16 15:29:01,neutral,sad,neutral,sad
2025-07-16 15:29:06,neutral,angry,neutral,angry
2025-07-16 15:29:11,happy,sad,happy,neutral
2025-07-16 15:29:16,neutral,neutral,neutral,neutral
2025-07-16 15:29:21,neutral,sad,neutral,sad
2025-07-16 15:29:26,neutral,angry,neutral,angry
2025-07-16 15:29:31,neutral,neutral,neutral,neutral
2025-07-16 15:29:36,sad,neutral,neutral,neutral
2025-07-16 15:29:41,neutral,none,neutral,none
2025-07-16 15:29:46,Head Nodding,sad,Head Nodding,sad
2025-07-16 15:29:51,sad,sad,sad,neutral
